DateTime,Entries,UniqueIPs
1442309795,5013,5013
1442353648,5018,5018
1442397629,5026,5026
1442441372,5036,5036
1442485139,5044,5044
1442528878,5051,5051
1442572602,5056,5056
1442616471,5059,5059
1442660465,5063,5063
1442704182,5068,5068
1442747917,5073,5073
1442791657,5080,5080
1442835460,5085,5085
1442879153,5091,5091
1442922860,5093,5093
1442966987,5099,5099
1443010730,5103,5103
1443054456,5108,5108
1443098261,5114,5114
1443141941,5124,5124
1443185684,5132,5132
1443229800,5137,5137
1443273542,5139,5139
1443317263,5142,5142
1443361024,5144,5144
1443404768,5147,5147
1443448534,5155,5155
1443492617,5161,5161
1443536331,5165,5165
1443580069,5170,5170
1443623805,5178,5178
1443667546,5182,5182
1443711336,5195,5195
1443755429,5199,5199
1443799113,5204,5204
1443842884,5216,5216
1443886614,5221,5221
1443930346,5225,5225
1443974090,5228,5228
1444018182,5230,5230
1444061920,5233,5233
1444105648,5236,5236
1444149503,5240,5240
1444193221,5245,5245
1444236882,5249,5249
1444280973,5253,5253
1444324717,5256,5256
1444368465,5260,5260
1444412232,5268,5268
1444455956,5270,5270
1444499744,5271,5271
1444543784,5273,5273
1444587575,5278,5278
1444631249,5282,5282
1444675067,5287,5287
1444718751,5290,5290
1444762481,5293,5293
1444806645,5297,5297
1444850345,5299,5299
1444894057,5301,5301
1444937794,5305,5305
1444981542,5311,5311
1445025261,5316,5316
1445069390,5317,5317
1445113123,5321,5321
1445156872,5326,5326
1445200650,5330,5330
1445244731,5335,5335
1445288493,5340,5340
1445332166,5348,5348
1445375921,5351,5351
1445419667,5353,5353
1445463399,5358,5358
1445507136,5361,5361
1445550935,5362,5362
1445594964,5366,5366
1445638810,5367,5367
1445726239,5373,5373
1445813660,5379,5379
1445857767,5383,5383
1445901544,5388,5388
1445945246,5392,5392
1445988989,5396,5396
1446032734,5398,5398
1446076474,5402,5402
1446120578,5406,5406
1446168133,5413,5413
1446212185,5417,5417
1446255957,5420,5420
1446299634,5450,5450
1446343288,5456,5456
1446386990,5465,5465
1446430628,5468,5468
1446474457,5471,5471
1446518194,5474,5474
1446561955,5477,5477
1446605658,5483,5483
1446649792,5485,5485
1446737241,5489,5489
1446781003,5492,5492
1446824734,5496,5496
1446869166,5499,5499
1446912906,5500,5500
1446956757,5503,5503
1447000619,5504,5504
1447046022,5505,5505
1447090116,5511,5511
1447133886,5515,5515
1447177522,5528,5528
1447221264,5538,5538
1447265399,5548,5548
1447309110,5551,5551
1447396595,5552,5552
1447440346,5553,5553
1447484091,5560,5560
1447527787,5563,5563
1447571916,5567,5567
1447615678,5575,5575
1447659387,5578,5578
1447703170,5582,5582
1447746860,5590,5590
1447857137,5595,5595
1447901154,5598,5598
1447944864,5604,5604
1447988976,5612,5612
1448032715,5615,5615
1448076443,5619,5619
1448120208,5622,5622
1448163937,5623,5623
1448207730,5627,5627
1448251773,5634,5634
1448295540,5641,5641
1448339349,5645,5645
1448383037,5647,5647
1448426851,5652,5652
1448487552,5659,5659
1448531210,5661,5661
1448579619,5669,5669
1448623636,5672,5672
1448667480,5678,5678
1448711134,5685,5685
1448754942,5698,5698
1448799701,5703,5703
1448843870,5705,5705
1448888090,5709,5709
1448932176,5718,5718
1448975926,5723,5723
1449019647,5733,5733
1449063482,5739,5739
1449107201,5740,5740
1449154155,5744,5744
1449198043,5749,5749
1449244189,5752,5752
1449288018,5757,5757
1449335590,5763,5763
1449379636,5770,5770
1449430257,5775,5775
1449474446,5781,5781
1449518078,5787,5787
1449562189,5789,5789
1449606021,5791,5791
1449649655,5794,5794
1449693418,5800,5800
1449737128,5809,5809
1449780872,5811,5811
1449824969,5819,5819
1449868719,5822,5822
1449913050,5823,5823
1449956741,5827,5827
1450000551,5833,5833
1450044573,5838,5838
1450088319,5842,5842
1450175804,5845,5845
1450219561,5853,5853
1450263262,5859,5859
1450307418,5862,5862
1450351110,5866,5866
1450394853,5871,5871
1450438590,5875,5875
1450482613,5876,5876
1450529294,5881,5881
1450573255,5885,5885
1450616991,5890,5890
1450661411,5893,5893
1450705535,5896,5896
1450755589,5898,5898
1450799653,5903,5903
1450843780,5908,5908
1450887599,5912,5912
1450931241,5922,5922
1451649275,5923,5923
1451693371,5929,5929
1451737126,5931,5931
1451780857,5937,5937
1451824592,5939,5939
1451868396,5946,5946
1451912058,5950,5950
1451956176,5959,5959
1451999926,5963,5963
1452043648,5969,5969
1452087474,5971,5971
1452131214,5976,5976
1452174859,5978,5978
1452218969,5981,5981
1452262733,5985,5985
1452306439,5987,5987
1452350278,5990,5990
1452393964,5993,5993
1452437659,5996,5996
1452481768,6001,6001
1452525540,6004,6004
1452569240,6010,6010
1452613010,6014,6014
1452656728,6017,6017
1452700465,6019,6019
1452744582,6024,6024
1452788307,6028,6028
1452832045,6036,6036
1452875821,6039,6039
1452919540,6048,6048
1452965437,6052,6052
1453009540,6056,6056
1453053261,6058,6058
1453097058,6067,6067
1453140743,6074,6074
1453184410,6075,6075
1453228090,6082,6082
1453271769,6087,6087
1453315453,6093,6093
1453359137,6098,6098
1453402816,6107,6107
1453446504,6117,6117
1453490507,6120,6120
1453534347,6127,6127
1453578010,6133,6133
1453621693,6142,6142
1453665367,6146,6146
1453709069,6154,6154
1453752737,6160,6160
1453796593,6164,6164
1453840646,6167,6167
1453884495,6173,6173
1453928167,6176,6176
1453971865,6178,6178
1454015544,6183,6183
1454059201,6186,6186
1454102890,6192,6192
1454146580,6196,6196
1454190247,6200,6200
1454233939,6201,6201
1454277811,6204,6204
1454321567,6209,6209
1454365211,6220,6220
1454408892,6222,6222
1454452573,6229,6229
1454496248,6234,6234
1454539940,6238,6238
1454583903,6240,6240
1454627788,6244,6244
1454671452,6248,6248
1454715145,6253,6253
1454758812,6260,6260
1454802752,6262,6262
1454846414,6265,6265
1454890101,6271,6271
1454933805,6275,6275
1454977456,6278,6278
1455021173,6287,6287
1455064835,6292,6292
1455108494,6296,6296
1455152171,6300,6300
1455195853,6304,6304
1455239648,6314,6314
1455283460,6317,6317
1455327137,6321,6321
1455370815,6325,6325
1455414499,6330,6330
1455501860,6334,6334
1455545556,6337,6337
1455589211,6339,6339
1455632895,6341,6341
1455676572,6343,6343
1455763933,6346,6346
1455807635,6350,6350
1455851312,6360,6360
1455894980,6364,6364
1455938669,6369,6369
1455982341,6371,6371
1456026013,6374,6374
1456069700,6376,6376
1456113370,6377,6377
1456157066,6379,6379
1456200754,6385,6385
1456244406,6388,6388
1456288118,6392,6392
1456331794,6397,6397
1456375712,6400,6400
1456419374,6402,6402
1456463072,6406,6406
1456506742,6408,6408
1456550412,6410,6410
1456594118,6417,6417
1456637805,6418,6418
1456681453,6422,6422
1456725134,6425,6425
1456768828,6429,6429
1456812531,6431,6431
1456856191,6432,6432
1456899861,6434,6434
1456943668,3030,3030
1456987454,6441,6441
1457031150,6443,6443
1457074848,6447,6447
1457118520,6449,6449
1457162227,6455,6455
1457205856,6460,6460
1457249539,6463,6463
1457293222,6470,6470
1457336896,6472,6472
1457380869,6475,6475
1457424506,6478,6478
1457468197,6482,6482
1457511871,6484,6484
1457555569,6486,6486
1457599238,6488,6488
1457643601,6497,6497
1457687306,6501,6501
1457735196,6504,6504
1457778974,6507,6507
1457822647,6512,6512
1457910073,6514,6514
1457953696,6518,6518
1457997390,6521,6521
1458041053,6526,6526
1458084741,6528,6528
1458128422,6530,6530
1458172093,6531,6531
1458215769,6534,6534
1458259466,6539,6539
1458303145,6540,6540
1458346836,6547,6547
1458390495,6548,6548
1458434185,6551,6551
1458477852,6555,6555
1458521554,6556,6556
1458565241,6557,6557
1458608908,6563,6563
1458652585,6568,6568
1458696257,6571,6571
1458739952,6575,6575
1458783621,6579,6579
1458827321,6580,6580
1458914673,6586,6586
1458958344,6588,6588
1459002274,6590,6590
1459045949,6593,6593
1459089628,6595,6595
1459133321,6597,6597
1459176976,6598,6598
1459220657,6601,6601
1459264347,6605,6605
1459308040,6610,6610
1459351708,6611,6611
1459395944,6634,6634
1459440086,6638,6638
1459484008,6642,6642
1459527650,6648,6648
1459571326,6653,6653
1459614990,6657,6657
1459658658,6659,6659
1459702346,6660,6660
1459746024,6663,6663
1459789705,6667,6667
1459877126,6672,6672
1459920759,6674,6674
1459964471,6676,6676
1460008100,6679,6679
1460051806,6682,6682
1460139153,6690,6690
1460182858,6691,6691
1460226512,6694,6694
1460270213,6696,6696
1460313861,6697,6697
1460357541,6700,6700
1460401484,6704,6704
1460445481,6708,6708
1460489321,6712,6712
1460532978,6715,6715
1460576645,6717,6717
1460620399,6721,6721
1460664073,6724,6724
1460707972,6726,6726
1460751783,6727,6727
1460795551,6733,6733
1460839240,6735,6735
1460882901,6737,6737
1460926589,6744,6744
1460970258,6745,6745
1461015443,6748,6748
1461059307,6752,6752
1461104399,6754,6754
1461162454,6757,6757
1461206195,6759,6759
1461249851,6762,6762
1461293548,6765,6765
1461337234,6773,6773
1461380901,6778,6778
1461424615,6782,6782
1461468248,6787,6787
1461511971,6791,6791
1461555624,6795,6795
1461599319,6802,6802
1461642985,6805,6805
1461686934,6808,6808
1461730594,6810,6810
1461774253,6813,6813
1461817953,6814,6814
1461861638,6815,6815
1461948991,6819,6819
1461992646,6820,6820
1462080017,6823,6823
1462123712,6828,6828
1462211061,6832,6832
1462254801,6833,6833
1462298439,6835,6835
1462342101,6839,6839
1462385787,6844,6844
1462429578,6845,6845
1462473378,6849,6849
1462517068,6853,6853
1462560775,6859,6859
1462604422,6865,6865
1462648101,6871,6871
1462691776,6873,6873
1462735455,6875,6875
1462779152,6886,6886
1462822819,6894,6894
1462866532,6903,6903
1462910177,6905,6905
1462953856,6906,6906
1462997800,6907,6907
1463041470,6908,6908
1463085153,6910,6910
1463128871,6915,6915
1463172553,6917,6917
1463216182,6923,6923
1463259875,6932,6932
1463303544,6938,6938
1463347240,6941,6941
1463390903,6946,6946
1463434606,6952,6952
1463478250,6956,6956
1463521960,6961,6961
1463565641,6966,6966
1463609312,6971,6971
1463653011,6974,6974
1463696652,6979,6979
1463740353,6986,6986
1463784018,6991,6991
1463827714,6995,6995
1463871393,7000,7000
1463915077,7004,7004
1463958744,7008,7008
1464002443,7011,7011
1464046096,7015,7015
1464089805,7018,7018
1464133461,7022,7022
1464177389,7024,7024
1464221058,7026,7026
1464308434,7028,7028
1464352105,7032,7032
1464395781,7034,7034
1464439453,7039,7039
1464483137,7041,7041
1464526867,7047,7047
1464614184,7050,7050
1464657865,7052,7052
1464701550,7057,7057
1464745214,7065,7065
1464832572,7070,7070
1464876257,7075,7075
1464920209,7077,7077
1464963876,7080,7080
1465007567,7084,7084
1465051230,7089,7089
1465094910,7091,7091
1465138587,7097,7097
1465182304,7102,7102
1465225950,7105,7105
1465269620,7112,7112
1465313301,7114,7114
1465356984,7116,7116
1465400657,7120,7120
1465444383,7125,7125
1465488037,7130,7130
1465531724,7135,7135
1465575381,7141,7141
1465662745,7143,7143
1465706417,7147,7147
1465750108,7152,7152
